詞彙;漢語拼音;詞類;編號
挨;āi ;Vst;4990
欸;ăi;Ptc;4991
愛戴;àidài ;Vst;4992
愛國;àiguó ;Vs;4993
愛滋病;àizībìng ;N;4994
安頓;āndùn ;V;4995
安撫;ānfŭ ;V;4996
安寧;ānníng ;Vs;4997
安詳;ānxiáng ;Vs;4998
安置;ānzhì ;V;4999
暗暗;ànàn ;Adv;5000
案件;ànjiàn ;N;5001
案情;ànqíng ;N;5002
案子;ànzi ;N;5003
按摩;ànmó ;V;5004
昂貴;ángguì ;Vs;5005
奧妙;àomiào ;Vs;5006
懊惱;àonăo ;Vs;5007
八卦;bāguà ;N;5008
八字;bāzì ;N;5009
把;bă;M;5010
把持;băchí ;V;5011
把手;băshǒu ;N;5012
白皮書;báipíshū ;N;5013
拜會;bàihuì ;V;5014
頒發;bānfā ;V;5015
頒獎;bānjiăng ;V-sep;5016
辦案;bànàn ;V-sep;5017
半島;bàndăo ;N;5018
半導體;bàndăotǐ ;N;5019
幫;bāng ;M;5020
綁;băng ;V;5021
包袱;bāofú ;N;5022
包圍;bāowéi ;V;5023
寶;băo ;N;5024
寶貝;băobèi ;Vst;5025
寶石;băoshí ;N;5026
飽和;băohé ;Vs;5027
飽滿;băomăn ;Vs;5028
保安;băoān ;N;5029
保管;băoguăn ;V;5030
保齡球;băolíngqiú ;N;5031
保姆;băomŭ ;N;5032
保全;băoquán ;Vs-attr;5033
保險;băoxiăn ;Vs;5034
保佑;băoyòu ;V;5035
保重;băozhòng ;Vi;5036
報案;bàoàn ;V-sep;5037
報表;bàobiăo ;N;5038
報酬;bàochóu ;N;5039
報導;bàodǎo;N;5040
報復;bàofù ;V;5041
報關;bàoguān ;V-sep;5042
報價;bàojià ;N;5043
報刊;bàokān ;N;5044
報應;bàoyìng ;N;5045
報章;bàozhāng;N;5046
暴力;bàolì ;Vs;5047
暴雨;bàoyŭ ;N;5048
爆發;bàofā ;Vpt;5049
抱負;bàofù ;N;5050
抱歉;bàoqiàn;Vs;5051
碑;bēi ;N;5052
悲哀;bēiāi ;Vs;5053
悲觀;bēiguān ;Vs;5054
貝殼;bèiké ;N;5055
倍數;bèishù ;N;5056
背誦;bèisòng ;V;5057
背心;bèixīn ;N;5058
被子;bèizi ;N;5059
奔騰;bēnténg ;Vi;5060
本;běn ;Adv;5061
本事;běnshì ;N;5062
本位;běnwèi ;N;5063
本性;běnxìng ;N;5064
本質;běnzhí;N;5065
崩潰;bēngkuì ;Vp;5066
甭;béng ;Adv;5067
敝;bì;Det;5068
必;bì ;Adv;5069
編輯;biānjí ;N;5070
編輯;biānjí ;V;5071
編寫;biānxiě ;V;5072
編織;biānzhī ;V;5073
編制;biānzhì ;N;5074
編製;biānzhì ;V;5075
邊界;biānjiè ;N;5076
邊緣;biānyuán ;N;5077
貶;biăn ;Vp;5078
貶值;biănzhí ;Vp;5079
匾額;biăné ;N;5080
便;biàn ;N;5081
辨認;biànrèn ;V;5082
辨識;biànshì ;V;5083
辯;biàn ;V;5084
辯護;biànhù ;Vi;5085
辯論;biànlùn ;Vi;5086
變革;biàngé ;N;5087
變遷;biànqiān ;Vs;5088
變通;biàntōng ;Vi;5089
變形;biànxíng ;Vp;5090
標籤;biāoqiān ;N;5091
標語;biāoyŭ ;N;5092
表白;biăobái ;Vi;5093
表明;biăomíng ;Vi;5094
鼻孔;bíkǒng ;N;5095
鼻涕;bítì ;N;5096
筆錄;bǐlù ;N;5097
筆友;bǐyǒu;N;5098
比率;bǐlǜ ;N;5099
比擬;bǐnǐ ;V;5100
比喻;bǐyù;N;5101
比重;bǐzhòng ;N;5102
必備;bìbèi ;Vs-attr;5103
必定;bìdìng ;Adv;5104
必然;bìrán ;Adv;5105
閉幕;bìmù ;Vp;5106
閉塞;bìsè ;Vs;5107
避難;bìnàn;Vi;5108
避孕;bìyùn ;V-sep;5109
畢生;bìshēng ;N;5110
幣值;bìzhí ;N;5111
憋;biē ;V;5112
別;bié ;V;5113
別墅;biéshù ;N;5114
