詞彙;漢語拼音;詞類;編號
兵;bīng ;N;5115
賓館;bīnguăn ;N;5116
柄;bǐng ;N;5117
並列;bìngliè ;Vst;5118
並重;bìngzhòng ;Vs;5119
併發;bìngfā ;Vpt;5120
病床;bìngchuáng ;N;5121
病菌;bìngjùn ;N;5122
病情;bìngqíng ;N;5123
撥;bō ;V;5124
波;bō ;M;5125
波及;bōjí  ;Vst;5126
波浪;bōlàng ;N;5127
剝;bō ;V;5128
剝削;bōxuè ;V;5129
搏鬥;bódòu ;Vi;5130
播出;bòchū ;V;5131
不便;búbiàn ;Vs;5132
不動產;búdòngchăn ;N;5133
不力;búlì ;Vs-pred;5134
不料;búliào ;Adv;5135
不下;búxià ;Adv;5136
不肖;búxiào ;Vs-attr;5137
不懈;búxiè ;Vs;5138
不再;búzài ;Vs-pred;5139
不致;búzhì ;Adv;5140
不至於/不致於;búzhìyú ;Adv;5141
補給;bǔjǐ;V;5142
補救;bŭjiù ;V;5143
補習班;bǔxíbān;N;5144
哺乳動物;bŭrŭdòngwù ;N;5145
不得;bùdé;Adv;5146
不等;bùděng;N;5147
不凡;bùfán ;Vs;5148
不妨;bùfáng ;Adv;5149
不法;bùfă ;Vs-attr;5150
不公;bùgōng ;Vs;5151
不禁;bùjīn;Vaux;5152
不及;bùjí ;Vs-pred;5153
不堪;bùkān;Vs;5154
不免;bùmiăn ;Adv;5155
不容;bùróng ;Adv;5156
不時;bùshí ;Adv;5157
不惜;bùxí ;Vs;5158
不知不覺;bùzhībùjué;Adv;5159
部落;bùluò ;N;5160
部署;bùshŭ ;V;5161
步調;bùdiào ;N;5162
步驟;bùzòu;N;5163
猜測;cāicè ;V;5164
猜忌;cāijì ;Vst;5165
猜想;cāixiăng ;V;5166
裁縫;cáiféng ;N;5167
裁減;cáijiăn ;V;5168
財團;cáituán ;N;5169
財政;cáizhèng ;N;5170
才智;cáizhì ;N;5171
採訪;căifăng ;V;5172
採光;căiguāng ;N;5173
採納;căinà ;V;5174
採取;căiqŭ ;V;5175
彩繪;căihuì ;V;5176
餐具;cānjù ;N;5177
參謀;cānmóu ;N;5178
殘暴;cánbào ;Vs;5179
殘酷;cánkù ;Vs;5180
殘殺;cánshā ;V;5181
慘重;cănzhòng ;Vs;5182
燦爛;cànlàn ;Vs;5183
蒼白;cāngbái ;Vs;5184
蒼蠅;cāngyíng ;N;5185
操縱;cāozòng ;V;5186
草案;căoàn ;N;5187
草叢;căocóng ;N;5188
草率;căoshuài ;Vs;5189
草藥;căoyào ;N;5190
測;cè ;V;5191
策畫/策劃;cèhuà ;V;5192
差額;chāé ;N;5193
插曲;chāqŭ ;N;5194
插嘴;chāzuǐ ;V-sep;5195
茶具;chájù ;N;5196
察覺;chájué ;Vpt;5197
查明;chámíng ;V;5198
蟬;chán;N;5199
饞;chán ;Vs;5200
潺潺;chánchán ;Vs;5201
猖獗;chāngjué ;Vs;5202
腸;cháng ;N;5203
長遠;chángyuăn ;Vs;5204
場次;chăngcì ;N;5205
場面;chăngmiàn ;N;5206
倡導;chàngdăo ;V;5207
唱腔;chàngqiāng ;N;5208
暢銷;chàngxiāo ;Vs;5209
產物;chănwù ;N;5210
產值;chănzhí ;N;5211
超速;chāosù ;Vp;5212
超脫;chāotuō ;Vst;5213
抄襲;chāoxí ;V;5214
吵嘴;chăozuǐ ;Vi;5215
車輛;chēliàng ;N;5216
車廂;chēxiāng ;N;5217
撤回;chèhuí ;V;5218
撤銷;chèxiāo ;V;5219
沉默;chénmò ;Vs;5220
沉思;chénsī ;Vi;5221
沉重;chénzhòng ;Vs;5222
塵土;chéntŭ ;N;5223
呈;chéng ;Vst;5224
乘;chéng ;Vst;5225
承包;chéngbāo ;V;5226
承擔;chéngdān;V;5227
承諾;chéngnuò ;N;5228
成敗;chéngbài ;N;5229
成見;chéngjiàn ;N;5230
成就;chéngjiù ;V;5231
成品;chéngpǐn ;N;5232
成全;chéngquán ;V;5233
成人;chéngrén;N;5234
成效;chéngxiào ;N;5235
成衣;chéngyī ;N;5236
成員;chéngyuán ;N;5237
成長;chéngzhǎng;N;5238
稱號;chēnghào ;N;5239
稱呼;chēnghū ;V;5240
撐腰;chēngyāo ;Vi;5241
程式;chéngshì ;N;5242
呈獻;chéngxiàn ;V;5243
誠心;chéngxīn ;N;5244
誠心誠意;chéngxīnchéngyì  ;Vs;5245
誠摯;chéngzhì ;Vs;5246
稱;chèng ;V;5247
吃驚;chījīng ;Vs;5248
吃苦;chīkŭ ;Vs;5249
吃力;chīlì ;Vs;5250
持;chí ;V;5251
持久;chíjiŭ ;Vs;5252
持平;chípíng ;Vs;5253
持續;chíxù ;Vaux;5254
池(子);chí(zi);N;5255
遲鈍;chídùn ;Vs;5256
充斥;chōngchì ;Vst;5257
充裕;chōngyù ;Vs;5258
沖淡;chōngdàn ;V;5259
沖天;chōngtiān ;Vs;5260
衝;chōng ;Vi;5261
衝動;chōngdòng ;Vs;5262
衝擊;chōngjí ;V;5263
衝突;chōngtú ;N;5264
憧憬;chōngjǐng ;Vst;5265
重疊;chóngdié ;Vs;5266
崇尚;chóngshàng ;Vst;5267
寵愛;chǒngài ;Vst;5268
寵物;chǒngwù;N;5269
抽查;chōuchá ;V;5270
抽空;chōukòng  ;Vi;5271
抽象;chōuxiàng ;Vs;5272
抽樣;chōuyàng ;V-sep;5273
愁;chóu ;N;5274
仇;chóu ;N;5275
仇恨;chóuhèn ;N;5276
稠密;chóumì ;Vs;5277
出超;chūchāo ;Vs;5278
出錯;chūcuò ;Vp-sep;5279
出發點;chūfādiăn ;N;5280
出局;chūjú ;Vp;5281
出口;chūkǒu;N;5282
出力;chūlì ;V-sep;5283
出路;chūlù ;N;5284
出馬;chūmă ;Vi;5285
出賣;chūmài ;V;5286
出面;chūmiàn ;Vi;5287
出名;chūmíng ;Vs;5288
出品;chūpǐn ;N;5289
出示;chūshì ;V;5290
出手;chūshǒu ;Vi;5291
出頭;chūtóu ;N;5292
出頭;chūtóu ;Vp;5293
出土;chūtŭ ;Vp;5294
出息;chūxí ;N;5295
出血;chūxiě ;Vp;5296
初期;chūqí ;N;5297
儲備;chúbèi ;V;5298
除此之外;chúcǐzhīwài;Conj;5299
鋤頭;chútou;N;5300
處;chŭ ;Vi;5301
處方;chŭfāng ;N;5302
處分;chŭfèn ;N;5303
處分;chŭfèn ;V;5304
處境;chŭjìng ;N;5305
處事;chŭshì ;Vi;5306
處於;chŭyú ;Vst;5307
處女;chùnǚ ;N;5308
穿梭;chuānsuō ;Vi;5309
傳;chuán ;V;5310
傳遞;chuándì ;V;5311
傳奇;chuánqí ;N;5312
傳奇;chuánqí ;Vs;5313
傳神;chuánshén ;Vs;5314
傳授;chuánshòu ;V;5315
船隻;chuánzhī ;N;5316
喘;chuăn ;V;5317
串;chuàn ;M;5318
創傷;chuāngshāng ;N;5319
創;chuàng ;V;5320
創辦;chuàngbàn ;V;5321
創立;chuànglì ;V;5322
創新;chuàngxīn ;V;5323
創業;chuàngyè ;V-sep;5324
創作;chuàngzuò ;V;5325
吹牛;chuīniú ;V-sep;5326
垂;chuí ;V;5327
垂直;chuízhí ;Vs;5328
辭;cí ;V;5329
辭典;cídiǎn;N;5330
辭行;cíxíng ;Vi;5331
慈善;císhàn ;Vs;5332
此刻;cǐkè ;N;5333
次;cì ;Det;5334
次要;cìyào ;Vs-attr;5335
伺候;cìhòu ;V;5336
刺殺;cìshā ;V;5337
匆忙;cōngmáng ;Vs;5338
從容;cōngróng;Vs;5339
從而;cóngér ;Conj;5340
湊巧;còuqiăo ;Vs;5341
粗糙;cūcāo ;Vs;5342
粗魯;cūlŭ ;Vs;5343
促;cù ;V;5344
促成;cùchéng ;Vpt;5345
促使;cùshǐ ;Vst;5346
促銷;cùxiāo ;V;5347
簇擁;cùyǒng ;V;5348
摧殘;cuīcán ;V;5349
摧毀;cuīhuǐ ;V;5350
催眠;cuīmián ;V;5351
脆弱;cuìruò ;Vs;5352
存貨;cúnhuò ;N;5353
磋商;cuōshāng ;Vi;5354
撮合;cuòhé ;V;5355
搭配;dāpèi ;V;5356
達;dá ;Vst;5357
答覆;dáfù ;V;5358
打;dă ;Prep;5359
打鬥;dădòu ;Vi;5360
打賭;dădŭ ;V-sep;5361
打發;dăfā ;V;5362
打擊;dăjí ;V;5363
打量;dăliàng ;V;5364
打獵;dăliè ;V-sep;5365
打牌;dăpái ;V-sep;5366
打手;dăshǒu ;N;5367
打烊;dăyáng ;Vp;5368
大道;dàdào ;N;5369
大隊;dàduì ;N;5370
大使;dàshǐ ;N;5371
大選;dàxuăn ;N;5372
大洋洲;dàyángzhōu;N;5373
大意;dàyì ;N;5374
大致;dàzhì ;Vs-attr;5375
呆;dāi ;Vs;5376
待;dāi ;Vi;5377
歹徒;dăitú ;N;5378
逮捕;dàibǔ;V;5379
代課;dàikè ;V-sep;5380
怠慢;dàimàn ;Vs;5381
擔;dān;V;5382
擔當;dāndāng ;V;5383
擔負;dānfù ;V;5384
單獨;dāndú ;Adv;5385
單價;dānjià ;N;5386
單據;dānjù ;N;5387
單親;dānqīn ;Vs-attr;5388
單行道;dānxíngdào ;N;5389
膽;dăn ;N;5390
膽固醇;dăngùchún ;N;5391
但;dàn ;Adv;5392
淡季;dànjì;N;5393
淡水;dànshuǐ ;N;5394
刀;dāo ;M;5395
導師;dăoshī ;N;5396
導致;dăozhì ;Vst;5397
島嶼;dăoyŭ ;N;5398
道;dào ;Vi;5399
道別;dàobié ;Vi;5400
道地;dàodì ;Vs;5401
道士;dàoshì ;N;5402
道義;dàoyì ;N;5403
到期;dàoqí ;Vp;5404
到頭來;dàotóulái ;Adv;5405
倒數;dàoshǔ;Vi;5406
當;dāng ;Det;5407
當兵;dāngbīng ;V-sep;5408
當代;dāngdài ;N;5409
當局;dāngjú ;N;5410
當前;dāngqián ;N;5411
當心;dāngxīn ;Vs;5412
黨派;dăngpài ;N;5413
黨員;dăngyuán ;N;5414
得以;déyǐ ;Adv;5415
登場;dēngchăng ;Vi;5416
登陸;dēnglù ;Vi;5417
燈火;dēnghuǒ ;N;5418
燈籠;dēnglóng ;N;5419
等候;děnghòu ;Vst;5420
等價;děngjià ;Vs;5421
瞪;dèng ;V;5422
滴;dī ;V;5423
嘀咕;dígū ;Vi;5424
底片;dǐpiàn ;N;5425
抵;dǐ ;V;5426
抵押;dǐyā ;V;5427
抵制;dǐzhì ;V;5428
地表;dìbiăo ;N;5429
地步;dìbù ;N;5430
地勢;dìshì ;N;5431
地域;dìyù ;N;5432
地獄;dìyù ;N;5433
地質;dìzhí ;N;5434
地主;dìzhŭ ;N;5435
締結;dìjié ;V;5436
締造;dìzào ;V;5437
弟兄;dìxiōng ;N;5438
顛覆;diānfù ;V;5439
典型;diănxíng ;N;5440
典雅;diănyă ;Vs;5441
點子;diănzi ;N;5442
奠定;diàndìng ;Vpt;5443
惦記;diànjì ;Vst;5444
電工;diàngōng ;N;5445
電力;diànlì ;N;5446
電流;diànliú ;N;5447
電器;diànqì ;N;5448
電視劇;diànshìjù ;N;5449
電壓;diànyā ;N;5450
凋零;diāolíng ;Vs;5451
調;diào;V;5452
調查;diàochá;N;5453
調度;diàodù ;Vi;5454
吊橋;diàoqiáo;N;5455
釣魚;diàoyú ;V-sep;5456
疊;dié ;V;5457
頂;dǐng ;Adv;5458
頂;dǐng ;V;5459
定額;dìngé ;N;5460
定義;dìngyì ;N;5461
釘;dìng ;V;5462
訂購;dìnggòu ;V;5463
丟棄;diūqì ;V;5464
凍結;dòngjié ;V;5465
洞穴;dòngxuè ;N;5466
動產;dòngchăn;N;5467
動機;dòngjī ;N;5468
動靜;dòngjìng ;N;5469
動力;dònglì ;N;5470
動亂;dòngluàn ;Vs;5471
動脈;dòngmài ;N;5472
動態;dòngtài ;N;5473
動向;dòngxiàng ;N;5474
動員;dòngyuán ;V;5475
抖;dǒu ;V;5476
陡;dǒu ;Vs;5477
逗留;dòuliú ;Vi;5478
鬥志;dòuzhì ;N;5479
督促;dūcù ;V;5480
獨創;dúchuàng ;V;5481
獨到;dúdào ;Vs;5482
獨占/獨佔;dúzhàn ;V;5483
讀物;dúwù ;N;5484
堵;dŭ ;V;5485
堵塞;dŭsè ;Vst;5486
賭博;dŭbó ;Vi;5487
賭場;dŭchăng ;N;5488
渡;dù ;V;5489
度量衡;dùliánghéng ;N;5490
端正;duānzhèng ;Vs;5491
短缺;duănquē ;Vs;5492
短暫;duănzhàn ;Vs;5493
斷絕;duànjué ;V;5494
堆積;duījī ;V;5495
隊伍;duìwŭ ;N;5496
兌現;duìxiàn ;V;5497
對比;duìbǐ ;N;5498
對照;duìzhào ;Vst;5499
對峙;duìzhì ;Vs;5500
頓;dùn ;Adv;5501
頓;dùn ;Vi;5502
頓時;dùnshí ;Adv;5503
多寡;duōguă ;N;5504
多虧;duōkuī ;Adv;5505
多媒體;duōméitǐ ;N;5506
多元;duōyuán ;Vs;5507
奪魁;duókuí ;Vp;5508
躲避;duǒbì ;V;5509
墮胎;duòtāi ;V-sep;5510
額外;éwài ;Vs-attr;5511
惡;è ;Vs-attr;5512
惡化;èhuà ;Vp;5513
惡性;èxìng ;Vs-attr;5514
惡意;èyì ;N;5515
恩愛;ēnài ;Vs;5516
恩情;ēnqíng ;N;5517
恩人;ēnrén ;N;5518
恩怨;ēnyuàn ;N;5519
而;ér ;Conj;5520
而是;érshì;Conj;5521
而言;éryán;;5522
兒女;érnǚ ;N;5523
耳光;ěrguāng ;N;5524
發;fā ;M;5525
發電;fādiàn ;Vi;5526
發瘋;fāfēng ;Vp;5527
發掘;fājué;V;5528
發誓;fāshì ;V-sep;5529
發炎;fāyán ;Vp;5530
發音;fāyīn;N;5531
發育;fāyù ;Vs;5532
發展;fāzhǎn;N;5533
發作;fāzuò;Vp;5534
法定;fădìng ;Vs-attr;5535
法官;făguān ;N;5536
法令;fălìng ;N;5537
法人;fărén ;N;5538
法則;făzé ;N;5539
法制;făzhì ;N;5540
法治;făzhì ;N;5541
翻臉;fānliăn ;Vp;5542
翻身;fānshēn ;V-sep;5543
翻新;fānxīn ;V;5544
繁多;fánduō ;Vs;5545
繁體;fántǐ;N;5546
藩籬;fánlí ;N;5547
凡是/凡是;fánshì;Conj;5548
返;făn ;V;5549
反擊;fănjí ;V;5550
反射;fănshè ;Vi;5551
反省;fănxǐng ;Vi;5552
反之;fănzhī ;Conj;5553
犯規;fànguī ;V-sep;5554
販毒;fàndú ;Vi;5555
販賣;fànmài ;V;5556
方位;fāngwèi ;N;5557
方向盤;fāngxiàngpán ;N;5558
方針;fāngzhēn ;N;5559
方正;fāngzhèng ;Vs;5560
妨礙;fángài ;V;5561
防備;fángbèi ;V;5562
防範;fángfàn ;V;5563
防水;fángshuǐ ;Vs;5564
防衛;fángwèi ;V;5565
防禦;fángyù ;V;5566
防治;fángzhì ;V;5567
仿冒;făngmào ;V;5568
仿造;făngzào ;V;5569
紡織;făngzhī ;Vi;5570
放蕩;fàngdàng ;Vs;5571
放寬;fàngkuān ;V;5572
放款;fàngkuăn ;Vi;5573
放任;fàngrèn ;Vst;5574
放鬆;fàngsōng ;Vs;5575
放映;fàngyìng ;V;5576
放逐;fàngzhú ;Vi;5577
非凡;fēifán ;Vs;5578
非洲;fēizhōu;N;5579
飛彈;fēidàn ;N;5580
飛快;fēikuài ;Adv;5581
飛翔;fēixiáng ;Vi;5582
飛行;fēixíng ;Vi;5583
肥料;féiliào ;N;5584
廢;fèi ;V;5585
廢除;fèichú ;V;5586
廢棄;fèiqì ;V;5587
廢墟;fèixū ;N;5588
廢止;fèizhǐ ;V;5589
費力;fèilì ;Vs;5590
沸騰;fèiténg ;Vp;5591
肺炎;fèiyán ;N;5592
分貝;fēnbèi ;M;5593
分辨;fēnbiàn ;V;5594
分寸;fēncùn ;N;5595
分擔;fēndān ;V;5596
分發;fēnfā ;Vi;5597
分割;fēngē ;V;5598
分化;fēnhuà ;Vpt;5599
分級;fēnjí ;V-sep;5600
分家;fēnjiā ;V-sep;5601
分解;fēnjiě ;V;5602
分離;fēnlí ;Vs;5603
分裂;fēnliè ;Vp;5604
分泌;fēnmì ;V;5605
分明;fēnmíng ;Adv;5606
分享;fēnxiăng ;V;5607
分子;fēnzǐ ;N;5608
墳墓;fénmù;N;5609
粉紅;fěnhóng ;Vs-attr;5610
粉刷;fěnshuā ;V;5611
分量;fènliàng ;N;5612
糞;fèn;N;5613
封;fēng ;V;5614
封閉;fēngbì ;Vs;5615
封鎖;fēngsuǒ ;V;5616
封條;fēngtiáo ;N;5617
風暴;fēngbào ;N;5618
風潮;fēngcháo ;N;5619
風光;fēngguāng ;N;5620
風光;fēngguāng ;Vs;5621
風化;fēnghuà ;Vp;5622
風力;fēnglì ;N;5623
風尚;fēngshàng ;N;5624
風水;fēngshuǐ ;N;5625
風行;fēngxíng;Vs;5626
鋒面;fēngmiàn ;N;5627
豐盛;fēngshèng ;Vs;5628
豐收;fēngshōu ;Vs;5629
縫;fèng ;N;5630
奉獻;fèngxiàn ;V;5631
奉養;fèngyàng ;V;5632
佛經;fójīng ;N;5633
佛像;fóxiàng ;N;5634
否決;fǒujué ;V;5635
膚淺;fūqiăn ;Vs;5636
敷衍;fūyăn ;V;5637
俘虜;fúlŭ ;N;5638
俘虜;fúlŭ ;V;5639
浮動;fúdòng ;Vi;5640
服從;fúcóng ;V;5641
服飾;fúshì ;N;5642
服務;fúwù;N;5643
服刑;fúxíng ;V-sep;5644
幅度;fúdù ;N;5645
福氣;fúqì ;N;5646
輻射;fúshè ;N;5647
斧頭;fŭtou ;N;5648
撫養;fŭyăng ;V;5649
撫育;fŭyù ;V;5650
腐爛;fŭlàn ;Vp;5651
腐蝕;fŭshí ;Vst;5652
腐朽;fŭxiŭ ;Vp;5653
付;fù;M;5654
付款;fùkuăn ;V-sep;5655
負;fù ;Vst;5656
負面;fùmiàn;N;5657
副;fù ;M;5658
富;fù ;Vs-attr;5659
富貴;fùguì ;N;5660
富有;fùyǒu ;Vs;5661
婦人;fùrén ;N;5662
附上;fùshàng ;Vpt;5663
復甦;fùsū ;Vp;5664
復原;fùyuán ;Vp;5665
賦予;fùyŭ ;V;5666
該死;gāisǐ ;Vs;5667
改編;găibiān ;V;5668
改觀;găiguān ;Vp;5669
改良;găiliáng ;V;5670
改選;găixuăn ;V;5671
鈣;gài ;N;5672
概;gài ;Adv;5673
概括;gàiguā ;Vst;5674
概況;gàikuàng ;N;5675
蓋章;gàizhāng ;V-sep;5676
尷尬;gāngà;Vs;5677
干擾;gānrăo ;V;5678
干涉;gānshè ;V;5679
乾燥;gānzào ;Vs;5680
感觸;gănchù ;N;5681
感性;gănxìng;Vs;5682
趕忙;gănmáng ;Adv;5683
綱領;gānglǐng ;N;5684
剛強;gāngqiáng ;Vs;5685
鋼鐵;gāngtiě ;N;5686
崗位;găngwèi ;N;5687
高見;gāojiàn ;N;5688
高壓;gāoyā ;N;5689
告別;gàobié ;V;5690
告狀;gàozhuàng ;V-sep;5691
胳膊(ㄅㄛ˙);gēbo;N;5692
歌唱;gēchàng ;Vi;5693
歌手;gēshǒu;N;5694
歌頌;gēsòng ;V;5695
疙瘩;gēda;N;5696
鴿子;gēzi ;N;5697
隔;gé ;Prep;5698
隔閡;géhé ;N;5699
隔天;gétiān;N;5700
格局;géjú ;N;5701
格式;géshì ;N;5702
格外;géwài ;Adv;5703
革新;géxīn ;V;5704
各界;gèjiè ;N;5705
各自;gèzì ;N;5706
個數;gèshù;N;5707
個體;gètǐ ;N;5708
給予;gěiyŭ ;V;5709
跟進;gēnjìn ;Vi;5710
跟前;gēnqián ;N;5711
根源;gēnyuán ;N;5712
耕地;gēngdì ;N;5713
更動;gēngdòng ;V;5714
弓;gōng ;N;5715
工地;gōngdì ;N;5716
工讀;gōngdú ;Vi;5717
工藝品;gōngyìpǐn ;N;5718
公安;gōngān ;N;5719
公費;gōngfèi ;N;5720
公會;gōnghuì ;N;5721
公民;gōngmín ;N;5722
公認;gōngrèn ;V;5723
公事;gōngshì ;N;5724
公文;gōngwén ;N;5725
公務;gōngwù ;N;5726
公務員;gōngwùyuán ;N;5727
公益;gōngyì ;N;5728
公債;gōngzhài ;N;5729
功勞;gōngláo ;N;5730
功利;gōnglì ;Vs;5731
攻;gōng ;V;5732
攻讀;gōngdú ;V;5733
攻擊;gōngjí ;V;5734
供給;gōnjǐ ;V;5735
宮殿;gōngdiàn ;N;5736
恭敬;gōngjìng ;Vs;5737
恭維;gōngwéi ;V;5738
鞏固;gǒnggù ;Vs;5739
共產;gòngchăn ;Vs-attr;5740
共和國;gònghéguó ;N;5741
共鳴;gòngmíng ;N;5742
供養;gòngyăng ;V;5743
勾結;gōujié ;V;5744
溝;gōu;N;5745
購;gòu ;V;5746
構想;gòuxiăng ;N;5747
孤獨;gūdú ;Vs;5748
孤兒;gūér ;N;5749
孤立;gūlì ;Vs;5750
辜負;gūfù ;Vst;5751
估價;gūjià ;V-sep;5752
古怪;gŭguài ;Vs;5753
古跡;gŭjī ;N;5754
古籍;gŭjí ;N;5755
古物;gŭwù ;N;5756
股;gŭ ;M;5757
股市;gŭshì ;N;5758
鼓吹;gŭchuī ;V;5759
鼓動;gŭdòng ;V;5760
故;gù ;Conj;5761
雇/僱;gù ;V;5762
雇用/僱用;gùyòng ;V;5763
固然;gùrán ;Conj;5764
固體;gùtǐ ;N;5765
固有;gùyǒu ;Vs-attr;5766
固執;gùzhí ;Vs;5767
顧全;gùquán ;V;5768
蝸牛;guāniú ;N;5769
寡婦;guăfù ;N;5770
拐;guăi ;V;5771
怪不得;guàibùdé ;Adv;5772
官;guān ;N;5773
官司;guānsī ;N;5774
棺材;guāncái ;N;5775
觀;guàn ;V;5776
觀測;guāncè ;V;5777
觀感;guāngăn ;N;5778
觀光;guānguāng;N;5779
觀看;guānkàn;V;5780
觀摩;guānmó ;V;5781
觀望;guānwàng ;Vi;5782
關稅;guānshuì ;N;5783
關切;guānqiè  ;Vst;5784
關懷;guānhuái ;Vst;5785
關頭;guāntóu ;N;5786
關係;guānxì;Vst;5787
關照;guānzhào ;Vst;5788
管教;guănjiào ;V;5789
管理;guǎnlǐ;N;5790
管線;guănxiàn ;N;5791
管子;guănzi ;N;5792
貫徹;guànchè ;Vst;5793
慣;guàn ;V;5794
灌;guàn ;V;5795
灌溉;guàngài ;V;5796
灌輸;guànshū ;V;5797
光顧;guānggù ;V;5798
光滑;guānghuá ;Vs;5799
光輝;guānghuī ;N;5800
光芒;guāngmáng ;N;5801
規範;guīfàn ;N;5802
規格;guīgé ;N;5803
規矩;guījŭ ;Vs;5804
規則;guīzé ;Vs;5805
歸;guī ;V;5806
歸;guī ;Vst;5807
歸還;guīhuán ;V;5808
歸納;guīnà ;V;5809
軌道;guǐdào ;N;5810
鬼怪;guǐguài ;N;5811
貴;guì;Det;5812
貴賓;guìbīn ;N;5813
棍子;gùnzi ;N;5814
國產;guóchăn ;Vs-attr;5815
國防;guófáng ;N;5816
國境;guójìng ;N;5817
國君;guójūn ;N;5818
國民;guómín;N;5819
國營;guóyíng ;Vs-attr;5820
果斷;guǒduàn ;Vs;5821
果實;guǒshí ;N;5822
果樹;guǒshù;N;5823
果真;guǒzhēn ;Adv;5824
過關;guòguān ;V-sep;5825
過量;guòliàng ;Vs;5826
過敏;guòmǐn ;Vs;5827
過目;guòmù ;Vi;5828
過人;guòrén ;Vs;5829
過失;guòshī ;N;5830
過癮;guòyǐn ;Vs;5831
過重;guòzhòng ;Vs;5832
海拔;hăibá ;N;5833
海面;hăimiàn ;N;5834
海嘯;hǎixiào;N;5835
海運;hăiyùn ;N;5836
害蟲;hàichóng ;N;5837
喊;hăn ;V;5838
行號;hánghào ;N;5839
行列;hángliè ;N;5840
航空信;hángkōngxìn ;N;5841
航行;hángxíng ;Vi;5842
