個人資料;男;nán;N
個人資料;女;nǚ;N
個人資料;孩子;háizi;N
個人資料;小姐;xiǎojiě;N
個人資料;先生;xiānshēng;N
個人資料;太太;tàitai;N
個人資料;女兒;nǚér;N
個人資料;兒子;érzi;N
個人資料;大家;dàjiā;N
個人資料;路;lù;N
個人資料;手機;shǒujī;N
個人資料;號碼;hàomǎ;N
個人資料;明年;míngnián;N
個人資料;去年;qùnián;N
個人資料;生日;shēngrì;N
個人資料;月;yuè;N
個人資料;日;rì;N
個人資料;星期;xīngqí;N
個人資料;星期天/星期日;xīngqítiān/xīngqírì;N
個人資料;週末/周末;zhōumò;N
個人資料;號;hào;M
個人資料;天;tiān;N/M
個人資料;從;cóng;Prep
個人資料;在;zài;Prep/Vs
個人資料;笑;xiào;Vi
個人資料;愛;ài;Vst
個人資料;好看;hǎokàn;Vs
個人資料;快樂;kuàilè;Vs
個人資料;太;tài;Adv
個人資料;非常;fēicháng;Adv
工作;工作;gōngzuò;N
工作;醫生;yīshēng;N
工作;醫院;yīyuàn;N
工作;公司;gōngsī;N
工作;賣;mài;V
工作;準備;zhǔnbèi;V
教育;一點(兒);yīdiǎn(r);Det
教育;一些;yīxiē;Det
教育;本;běn;M
教育;張;zhāng;M
教育;中學;zhōngxué;N
教育;年級;niánjí;N
教育;英文;yīngwén;N
教育;紙;zhǐ;N
教育;問題;wèntí;N
教育;意思;yìsi;N
教育;圖書館;túshūguǎn;N
教育;數學;shùxué;N
教育;歷史;lìshĭ;N
教育;餐廳/飯館;cāntīng/ fànguǎn;N
教育;學習;xuéxí;V
教育;參加;cānjiā;V
教育;畫;huà;V
教育;讀;dú;V
教育;會;huì;Vaux
教育;有趣;yǒuqù;Vs
教育;為什麼;wèishénme;Vs
教育;下課;xiàkè;V-sep
教育;說話;shuōhuà;V-sep
教育;考試;kǎoshì;V-sep/N
教育;懂;dǒng;Vst
房屋與家庭、環境;天氣;tiānqì;N
房屋與家庭、環境;房子;fángzi;N
房屋與家庭、環境;門;mén;N
房屋與家庭、環境;山;shān;N
房屋與家庭、環境;客廳;kètīng;N
房屋與家庭、環境;河;hé;N
房屋與家庭、環境;狗;gǒu;N
房屋與家庭、環境;花;huā;N
房屋與家庭、環境;風;fēng;N
房屋與家庭、環境;海;hǎi;N
房屋與家庭、環境;魚;yú;N
房屋與家庭、環境;樹;shù;N
房屋與家庭、環境;開;kāi;V
房屋與家庭、環境;冷;lěng;Vs
房屋與家庭、環境;熱;rè;Vs
房屋與家庭、環境;洗澡;xǐzǎo;V-sep
日常生活;咖啡;kāfēi;N
日常生活;茶;chá;N
日常生活;生活;shēnghuó;N
日常生活;用;yòng;V
日常生活;洗;xǐ;V
日常生活;穿;chuān;V
日常生活;起床;qǐchuáng;Vp
日常生活;方便;fāngbiàn;Vs
日常生活;睡覺;shuìjiào;V-sep
閒暇時間、娛樂;先;xiān;Adv
閒暇時間、娛樂;常常;chángcháng;Adv
閒暇時間、娛樂;每;měi;Det
閒暇時間、娛樂;次;cì;M
閒暇時間、娛樂;音樂;yīnyuè;N
閒暇時間、娛樂;票;piào;N
閒暇時間、娛樂;照片;zhàopiàn;N
閒暇時間、娛樂;打;dǎ;V
閒暇時間、娛樂;玩;wán;V
閒暇時間、娛樂;跑;pǎo;Vi
閒暇時間、娛樂;運動;yùndòng;Vi/N
閒暇時間、娛樂;開始;kāishǐ;Vp
閒暇時間、娛樂;走路;zǒulù;V-sep
閒暇時間、娛樂;唱歌;chànggē;V-sep
與他人的關係;信;xìn;N
與他人的關係;喂(ㄨㄟˊ)/喂;wéi/wèi;Ptc
與他人的關係;介紹;jièshào;V
與他人的關係;換;huàn;V
與他人的關係;認識;rènshi;Vpt
與他人的關係;沒關係(ㄒㄧ˙);méiguānxi;Vs
旅行;怎麼;zěnme;Adv
旅行;哪;nǎ;Det
旅行;哪裡/哪兒;nǎlǐ/nǎr;N
旅行;這裡/這兒;zhèlǐ/zhèr;N
旅行;那裡/那兒;nàlǐ/nàr;N
旅行;上(面);shàng(miàn);N
旅行;下(面);xià(miàn);N
旅行;外(面);wàimiàn;N
旅行;前(面);qián(miàn);N
旅行;後(面);hòu(miàn);N
旅行;右邊;yòubiān;N
旅行;左邊;zuǒbiān;N
旅行;旁邊;pángbiān;N
旅行;中間;zhōngjiān;N
旅行;地鐵;dìtiě;N
旅行;地方;dìfāng;N
旅行;附近;fùjìn;N
旅行;離;lí;Prep
旅行;往;wǎng;Prep
旅行;送;sòng;V
旅行;帶;dài;V
旅行;放;fàng;V
旅行;拿;ná;V
旅行;過;guò;V/Ptc
旅行;進來;jìnlái;Vi
旅行;出去;chūqù;Vi
旅行;站;zhàn;Vi
旅行;快;kuài;Vs
旅行;慢;màn;Vs
旅行;近;jìn;Vs
旅行;遠;yuǎn;Vs
健康及身體照護;手;shǒu;N
健康及身體照護;身體;shēntǐ;N
健康及身體照護;眼睛;yǎnjīng;N
健康及身體照護;藥;yào;N
健康及身體照護;累;lèi;Vs
購物;雙;shuāng;M
購物;元;yuán;M
購物;鞋子;xiézi;N
購物;褲子;kùzi;N
購物;市場;shìchǎng;N
購物;衣服(ㄈㄨ˙);yīfu;N
購物;比;bǐ;Prep
購物;要;yào;Vaux/V
購物;長;cháng;Vs
購物;新;xīn;Vs
購物;一樣;yīyàng;Vs
購物;好吃;hǎochī;Vs
飲食;件;jiàn;M
飲食;杯;bēi;M
飲食;瓶;píng;M
