詞彙;漢語拼音;詞類;編號
阿姨;āyí;N;999
哎;āi ;Ptc;1000
唉;āi ;Ptc;1001
愛;ài ;N;1002
愛情;àiqíng ;N;1003
愛惜;àixí ;Vst;1004
愛心;àixīn ;N;1005
安定;āndìng ;Vs;1006
安排;ānpái ;N;1007
安排;ānpái ;V;1008
安心;ānxīn ;Vs;1009
按;àn ;Prep;1010
按照;ànzhào ;Prep;1011
巴士;bāshì ;N;1012
把;bǎ ;M;1013
把握;băwò ;V;1014
白;bái ;Adv;1015
白;bái ;Vs;1016
白(白);bái(bái);Adv;1017
白菜;báicài ;N;1018
白天;báitiān ;N;1019
擺;băi ;V;1020
百貨公司;băihuògōngsī;N;1021
班機;bānjī ;N;1022
搬家;bānjiā ;V-sep;1023
辦;bàn ;V;1024
辦理;bànlĭ;V;1025
半天;bàntiān ;N;1026
半夜;bànyè ;N;1027
幫助;bāngzhù ;V;1028
榜樣;băngyàng ;N;1029
棒;bàng;Vs;1030
包;bāo ;V;1031
包含;bāohán ;Vst;1032
寶貝;băobèi;N;1033
寶貴;băoguì ;Vs;1034
保護;băohù ;V;1035
保守;băoshǒu ;Vs;1036
保養;băoyăng ;V;1037
保證/保証;băozhèng ;N;1038
保證/保証;băozhèng ;V;1039
抱;bào;V;1040
抱怨;bàoyuàn ;V;1041
報名;bàomíng ;V-sep;1042
背包;bēibāo ;N;1043
北方;běifāng ;N;1044
被動;bèidòng ;Vs;1045
背後;bèihòu ;N;1046
背景;bèijĭng ;N;1047
輩子;bèizi ;N;1048
本;běn ;Det;1049
本人;běnrén ;N;1050
本子;běnzi;N;1051
笨;bèn ;Vs;1052
逼;bī ;V;1053
筆;bĭ;M;1054
比;bǐ ;V;1055
比如(說);bǐrú(shuō);Prep;1056
畢竟;bìjìng ;Adv;1057
避免;bìmiăn ;V;1058
必要;bìyào ;Vs;1059
鞭炮;biānpào ;N;1060
變;biàn ;Vp;1061
變成;biànchéng ;Vpt;1062
變更;biàngēng ;V;1063
變化;biànhuà ;N;1064
變化;biànhuà ;Vs;1065
便條;biàntiáo ;N;1066
標準;biāozhŭn ;N;1067
標準;biāozhŭn ;Vs;1068
表;biǎo ;N;1069
表達;biăodá ;V;1071
表面;biăomiàn ;N;1072
表示;biăoshì ;V;1073
表現;biǎoxiàn ;N;1074
表現;biǎoxiàn ;V;1075
表演;biǎoyǎn ;V;1076
別的;biéde;Det;1077
冰;bīng ;N;1078
冰塊/冰塊兒;bīngkuài/bīngkuàir;N;1079
餅;bǐng ;N;1080
病;bìng ;Vp;1081
伯伯;bóbo ;N;1082
博士;bóshì ;N;1083
播;bò ;V;1084
不必;búbì ;Vaux;1085
不斷;búduàn ;Adv;1086
不斷;búduàn ;Vs;1087
不過;búguò ;Adv;1088
不過;búguò ;Conj;1089
不見(了);bújiàn(le);Vp;1090
不論;búlùn ;Conj;1091
不幸;búxìng ;Vs;1092
不用說;búyòngshuō ;Conj;1093
不得不;bùdébù ;Adv;1094
不得了;bùdéliăo ;Vs;1095
不管;bùguǎn ;Conj;1096
不滿;bùmăn ;Vs;1097
不如;bùrú ;Vst;1098
不少;bùshǎo ;Det;1099
不少;bùshǎo ;Vs;1100
不足;bùzú ;Vs;1101
部;bù ;M;1102
部分/部份;bùfèn;Det;1103
部分/部份;bùfèn;N;1104
部門;bùmén ;N;1105
布;bù ;N;1106
布置/佈置;bùzhì ;V;1107
擦;cā;V;1108
猜;cāi;V;1109
材料;cáiliào ;N;1110
採用;căiyòng ;V;1111
餐;cān;M;1112
餐桌;cānzhuō;N;1113
參考;cānkăo ;V;1114
草地;cǎodì;N;1115
草原;cǎoyuán ;N;1116
層;céng ;M;1117
曾;céng ;Adv;1118
曾經;céngjīng ;Adv;1119
差別;chābié ;N;1120
差異;chāyì ;N;1121
查;chá ;V;1122
差(一)點/差(一)點兒;chà(yì)diăn/chà(yì)diănr;Adv;1123
產品;chǎnpǐn ;N;1124
產生;chănshēng ;Vpt;1125
常;cháng;Adv;1126
嘗試/嚐試;chángshì ;V;1127
場;chǎng ;M;1128
超過;chāoguò ;Vpt;1129
超級;chāojí ;Vs-attr;1130
炒;chăo ;V;1131
吵;chăo;V;1132
吵架;chăojià ;V-sep;1133
車禍;chēhuò ;N;1134
趁;chèn ;Prep;1135
成;chéng ;Vpt;1136
成果;chéngguǒ ;N;1137
成就;chéngjiù ;N;1138
成熟;chéngshú;Vs;1139
成長;chéngzhăng ;Vs;1140
程度;chéngdù ;N;1141
承認;chéngrèn ;V;1142
誠實;chéngshí ;Vs;1143
吃喝玩樂;chīhēwánlè ;Vi;1144
尺;chǐ ;M;1145
充實;chōngshí ;Vs;1146
重新;chóngxīn ;Adv;1147
蟲(子);chóng(zi);N;1148
抽;chōu ;V;1149
醜;chŏu;Vs;1150
臭;chòu ;Vs;1151
初;chū ;N;1152
出版;chūbăn ;V;1153
出差;chūchāi ;V-sep;1154
出門;chūmén ;V-sep;1155
出租;chūzū ;V;1156
除了;chúle ;Prep;1157
除夕;chúxì ;N;1158
廚師;chúshī ;N;1159
處理;chŭlĭ;V;1160
傳統;chuántŏng ;Vs;1161
串;chuàn ;M;1162
創造;chuàngzào ;V;1163
吹;chuī;V;1164
春節;chūnjié ;N;1165
詞;cí ;N;1166
此;cĭ;Det;1167
刺激;cìjī ;N;1168
刺激;cìjī ;Vs;1169
從不;cóngbù ;Adv;1170
從來;cónglái ;Adv;1171
從小;cóngxiăo ;Adv;1172
醋;cù ;N;1173
存;cún ;V;1174
存在;cúnzài ;Vi;1175
寸;cùn ;M;1176
錯;cuò ;N;1177
錯誤;cuòwù ;N;1178
挫折;cuòzhé ;N;1179
答應;dāyìng ;V;1180
達成;dáchéng ;Vpt;1181
打工;dăgōng ;V-sep;1182
打架;dăjià ;V-sep;1183
打聽;dătīng ;V;1184
打仗;dăzhàng ;V-sep;1185
打折;dăzhé ;V-sep;1186
大大;dàdà ;Adv;1187
大多數;dàduōshù ;Det;1188
大方;dàfāng ;Vs;1189
大概;dàgài ;Adv;1190
大會;dàhuì ;N;1191
大陸;dàlù ;N;1192
大門;dàmén ;N;1193
大小;dàxiăo ;N;1194
大約;dàyuē ;Adv;1195
袋;dài ;M;1196
代表;dàibiǎo ;N;1197
代表;dàibiǎo ;V;1198
代替;dàitì ;V;1199
帶來;dàilái ;V;1200
帶領;dàilĭng ;V;1201
單純;dānchún ;Vs;1202
單身;dānshēn ;Vs;1203
擔任;dānrèn ;V;1204
但;dàn ;Conj;1205
淡;dàn ;Vs;1206
當;dāng ;Vst;1207
當場;dāngchăng ;Adv;1208
當地;dāngdì ;N;1209
當面;dāngmiàn ;Adv;1210
當年;dāngnián ;N;1211
當天;dāngtiān ;N;1212
當中;dāngzhōng ;N;1213
當作;dāngzuò ;Vst;1214
當做;dāngzuò ;Vst;1215
倒;dǎo ;Adv;1216
島;dăo ;N;1217
導演;dăoyăn ;N;1218
到;dào;Conj;1219
到;dào;Prep;1220
到處;dàochù ;Adv;1221
到底;dàodĭ;Adv;1222
到底;dàodǐ ;Vs-pred;1223
道德;dàodé ;N;1224
道教;Dàojiào;N;1225
道理;dàolǐ ;N;1226
道歉;dàoqiàn ;V-sep;1227
倒;dào ;V;1228
倒是;dàoshì ;Adv;1229
得;dé ;Vaux;1230
得到;dédào ;Vpt;1231
得意;déyì ;Vs;1232
得很;dehěn ;;1233
的話;dehuà ;;1234
得;děi;Vpt;1235
燈光;dēngguāng ;N;1236
等;děng ;V;1237
等/等等;děng/děngděng;Ptc;1238
等待;děngdài ;V;1239
低;dī;Vs;1240
敵人;dírén ;N;1241
底;dǐ ;N;1242
底下;dǐxià ;N;1243
抵達;dĭdá ;V;1244
地;dì ;Ptc;1245
地板;dìbăn ;N;1246
地帶;dìdài ;N;1247
地點;dìdiăn ;N;1248
地理;dìlĭ ;N;1249
地區;dìqū ;N;1250
地攤;dìtān ;N;1251
地位;dìwèi ;N;1252
地下;dìxià ;N;1253
地形;dìxíng ;N;1254
點;diăn;M;1255
點;diăn;N;1256
點;diǎn ;V;1257
點/點兒;diǎn/diǎnr;;1258
電;diàn ;N;1259
電車;diànchē ;N;1260
電池;diànchí ;N;1261
電燈;diàndēng;N;1262
店員;diànyuán ;N;1263
調查;diàochá ;V;1264
訂;dìng ;V;1265
丟;diū ;Vpt;1266
東北;dōngběi ;N;1267
東方;dōngfāng ;N;1268
東南;dōngnán ;N;1269
懂事;dǒngshì ;Vs;1270
逗;dòu ;V;1271
豆腐;dòufŭ ;N;1272
豆漿;dòujiāng ;N;1273
都市;dūshì ;N;1274
毒品;dúpǐn ;N;1275
獨特;dútè ;Vs;1276
讀者;dúzhě ;N;1277
段;duàn ;M;1278
堆;duī ;M;1279
對;duì ;M;1280
對;duì ;Prep;1281
對;duì ;V;1282
對方;duìfāng ;N;1284
對話;duìhuà ;N;1285
對了;duìle;;1286
對象;duìxiàng ;N;1287
多多少少;duōduōshăoshăo ;Adv;1288
多麼;duóme ;Adv;1289
朵;duǒ;M;1290
頓;dùn ;M;1291
嗯;ēn ;Ptc;1292
而;ér ;Conj;1293
兒童;értóng ;N;1294
發;fā;V;1295
發表;fābiăo ;V;1296
發財;fācái ;Vp-sep;1297
發出;fāchū ;Vpt;1298
發達;fādá ;Vs;1299
發揮;fāhuī ;V;1300
發覺;fājué ;Vpt;1301
發明;fāmíng ;N;1302
發明;fāmíng ;Vpt;1303
發脾氣;fāpíqì ;Vi;1304
發票;fāpiào ;N;1305
法律;fălǜ;N;1306
翻;fān ;V;1307
翻譯;fānyì ;V;1308
煩惱;fánnăo ;Vs;1309
反而;fănér ;Conj;1310
反應;fănyìng ;N;1311
犯;fàn ;Vst;1312
範圍;fànwéi ;N;1313
方面;fāngmiàn ;N;1314
方式;fāngshì ;N;1315
房東;fángdōng ;N;1316
房客;fángkè ;N;1317
房屋;fángwū ;N;1318
訪問;fǎngwèn ;V;1319
放心;fàngxīn ;Vs-sep;1320
非;fēi ;Adv;1321
非;fēi ;Vst;1322
飛;fēi ;Vi;1323
費用;fèiyòng ;N;1324
分開;fēnkāi ;Vp;1325
份;fèn ;M;1326
封;fēng;M;1327
豐富;fēngfù ;Vs;1328
風格;fēnggé ;N;1329
風俗;fēngsú ;N;1330
佛教;Fójiào;N;1331
