詞彙;漢語拼音;詞類;編號
否則;fŏuzé ;Conj;1332
夫婦;fūfù ;N;1333
符合;fúhé ;Vs;1334
福利;fúlì ;N;1335
服裝;fúzhuāng ;N;1336
腐敗;fŭbài ;Vs;1337
付出;fùchū ;Vpt;1338
負擔;fùdān ;N;1339
負擔;fùdān ;V;1340
負責;fùzé ;Vs;1341
複習;fùxí ;V;1342
該;gāi ;Vaux;1343
改;gǎi ;V;1344
改變;gǎibiàn ;N;1345
改變;gǎibiàn ;V;1346
改進;găijìn ;V;1347
改善;găishàn ;V;1348
改天;găitiān ;Adv;1349
蓋;gài ;V;1350
概念;gàiniàn ;N;1351
敢;gǎn ;Vaux;1352
趕;găn ;V;1353
趕快;gǎnkuài ;Adv;1354
趕上;gănshàng ;Vpt;1355
感動;găndòng ;Vs;1356
感想;gănxiăng ;N;1357
感興趣;gănxìngqù ;Vs;1358
剛;gāng ;Adv;1359
高速;gāosù ;Vs-attr;1360
高中;gāozhōng ;N;1361
搞;găo ;V;1362
歌曲;gēqŭ  ;N;1363
歌星;gēxīng ;N;1364
隔壁;gébì ;N;1365
革命;gémìng ;Vi;1366
個人;gèrén ;N;1367
個子;gèzi ;N;1368
各式各樣;gèshìgèyàng ;Vs-attr;1369
各位;gèwèi ;N;1370
個;ge;Ptc;1371
給;gěi;Prep;1372
跟;gēn ;Prep;1373
跟;gēn ;V;1374
根;gēn ;M;1375
根;gēn ;N;1376
根據;gēnjù ;Prep;1377
更加;gèngjiā ;Adv;1378
公尺;gōngchǐ ;M;1379
公分;gōngfēn ;M;1380
公共;gōnggòng ;Vs-attr;1381
公克;gōngkè ;M;1382
公路;gōnglù ;N;1383
功夫;gōngfu ;N;1384
功能;gōngnéng ;N;1385
工具;gōngjù ;N;1386
工業;gōngyè ;N;1387
工作;gōngzuò;Vi;1388
恭喜;gōngxǐ;V;1389
共;gòng ;Adv;1390
共同;gòngtóng ;Vs-attr;1391
貢獻;gòngxiàn ;N;1392
貢獻;gòngxiàn ;V;1393
溝通;gōutōng ;V;1394
夠;gòu ;Adv;1395
夠;gòu ;Vs-pred;1396
購買;gòumăi ;V;1397
姑娘;gūniáng ;N;1398
古;gŭ ;Vs-attr;1399
古代;gŭdài ;N;1400
古蹟;gŭjī ;N;1401
古老;gŭlăo ;Vs;1402
顧;gù ;V;1403
故意;gùyì ;Vs;1404
刮;guā ;V;1405
乖;guāi;Vs;1406
怪;guài ;V;1407
怪;guài ;Vs;1408
關;guān ;Vp;1409
觀察;guānchá ;V;1410
觀點;guāndiăn ;N;1411
觀念;guānniàn ;N;1412
觀眾;guānzhòng ;N;1413
管;guăn ;V;1414
罐;guàn ;M;1415
廣播;guǎngbò ;N;1416
廣播;guǎngbò ;Vi;1417
廣場;guăngchăng ;N;1418
廣告;guănggào ;N;1419
逛;guàng ;V;1420
逛街;guàngjiē ;V-sep;1421
規矩;guījŭ ;N;1422
規模;guīmó ;N;1423
鬼;guǐ ;N;1424
貴姓;guìxìng;;1425
櫃子;guìzi ;N;1426
國內;guónèi ;N;1427
國外;guówài ;N;1428
國王;guówáng ;N;1429
國語;guóyŭ ;N;1430
過;guò;V;1431
過去;guòqù;N;1432
過日子;guòrìzi ;Vi;1433
嗨;hāi ;Ptc;1434
還;hái ;Adv;1435
還好;háihăo  ;Adv;1436
還是;háishì ;Adv;1437
還要;háiyào  ;Adv;1438
海報;hăibào  ;N;1439
海灘;hăitān  ;N;1440
海洋;hǎiyáng ;N;1441
害;hài ;V;1442
害怕;hàipà;Vs;1443
行;háng ;M;1444
航空;hángkōng ;N;1445
好;hăo ;Vs;1446
好處;hǎochù ;N;1447
好好/好好兒;hǎohǎo/hǎohǎor;Adv;1448
好幾;hǎojǐ ;Det;1449
好了;hǎole ;Ptc;1450
好些;hǎoxiē ;Det;1451
和;hé ;Prep;1452
盒;hé ;M;1453
合;hé ;Vs;1454
合唱;héchàng ;V;1455
合作;hézuò ;Vs;1456
黑;hēi;Vs;1457
恨;hèn ;Vst;1458
恨不得;hènbùdé ;Vst;1459
紅;hóng;Vs;1460
紅包;hóngbāo;N;1461
紅豆;hóngdòu ;N;1462
厚;hòu ;Vs;1463
後;hòu ;Det;1464
後;hòu ;N;1465
忽然;hūrán ;Adv;1466
糊塗;hútú ;Vs;1467
互相;hùxiāng ;Adv;1468
花;huā ;V;1469
花心;huāxīn;Vs;1470
滑雪;huáxuě;V-sep;1471
畫家;huàjiā;N;1472
話說回來;huàshuōhuílái ;;1473
話題;huàtí ;N;1474
化妝品;huàzhuāngpĭn ;N;1475
壞處;huàichù ;N;1476
還;huán;V;1477
環保;huánbăo ;N;1478
黃;huáng;Vs;1479
回;huí ;M;1480
回答;huídá ;N;1481
回想;huíxiăng ;V;1482
會;huì ;N;1483
會場;huìchăng ;N;1484
會話;huìhuà ;N;1485
會議;huìyì ;N;1486
婚禮;hūnlǐ ;N;1487
婚姻;hūnyīn ;N;1488
混亂;hùnluàn ;Vs;1489
活;huó ;Vs-attr;1490
活動;huódòng ;Vi;1491
或許;huòxŭ ;Adv;1492
基本;jīběn ;N;1493
基本;jīběn ;Vs;1494
基礎;jīchŭ  ;N;1495
基督教;Jīdūjiào;N;1496
激動;jīdòng ;Vs;1497
激烈;jīliè  ;Vs;1498
積極;jījí  ;Vs;1499
機器;jīqì;N;1500
及;jí ;Conj;1501
急;jí ;Vs;1502
極;jí ;Adv;1503
極了;jíle ;;1504
擠;jǐ ;V;1505
擠;jǐ ;Vs;1506
既;jì ;Conj;1507
記;jì ;Vst;1508
記錄;jìlù ;N;1509
記錄;jìlù  ;V;1510
記憶;jìyì ;N;1511
季節;jìjié ;N;1512
紀念;jìniàn  ;N;1513
紀念;jìniàn  ;Vst;1514
技巧;jìqiăo  ;N;1515
繼續;jìxù ;V;1516
加;jiā;V;1517
加強;jiāqiáng ;V;1518
加入;jiārù ;Vpt;1519
加上;jiāshàng ;V;1520
加油;jiāyóu ;Vi;1521
家;jiā ;M;1522
家鄉;jiāxiāng ;N;1523
家長;jiāzhăng ;N;1524
假;jiă ;Vs;1525
假如;jiărú ;Conj;1526
假裝;jiăzhuāng ;V;1527
架;jià ;M;1528
假日;jiàrì ;N;1529
價值;jiàzhí ;N;1530
肩膀;jiānbăng ;N;1531
堅持;jiānchí ;Vs;1532
堅強;jiānqiáng ;Vs;1533
減;jiăn ;Vst;1534
減輕;jiănqīng ;Vpt;1535
減少;jiănshăo ;Vpt;1536
簡直;jiănzhí ;Adv;1537
見;jiàn ;Vpt;1538
建立;jiànlì ;V;1539
建設;jiànshè ;N;1540
建設;jiànshè ;V;1541
建議;jiànyì ;N;1542
建議;jiànyì ;V;1543
將來;jiānglái ;N;1544
講價;jiăngjià ;Vi;1545
講究;jiăngjiù ;Vs;1546
獎學金;jiăngxuéjīn ;N;1547
降低;jiàngdī ;Vpt;1548
醬油;jiàngyóu ;N;1549
交;jiāo ;V;1550
交流;jiāoliú ;Vi;1551
交友;jiāoyǒu ;Vi;1552
驕傲;jiāoào ;Vs;1553
郊區;jiāoqū ;N;1554
角度;jiăodù ;N;1555
角/角色;jiăo/juésè;N;1556
叫;jiào ;V;1557
叫;jiào ;Vst;1558
較;jiào ;Adv;1559
教;jiào ;Vst;1560
教材;jiàocái ;N;1561
教導;jiàodăo ;V;1562
教法;jiàofă ;N;1563
教練;jiàoliàn ;N;1564
教授;jiàoshòu ;N;1565
教訓;jiàoxùn ;N;1566
教育;jiàoyù ;N;1567
教育;jiàoyù ;V;1568
接觸;jiēchù ;V;1569
接受;jiēshòu ;V;1570
接著;jiēzhe ;Adv;1571
結;jié ;V;1572
結果;jiéguǒ ;Conj;1573
結局;jiéjú ;N;1574
節;jié ;M;1575
節日;jiérì ;N;1576
解決;jiějué;V;1577
解釋;jiěshì ;V;1578
姊妹;jiěmèi ;N;1579
斤;jīn;M;1580
金(子);jīn(zi);N;1581
緊;jǐn ;Vs;1582
僅;jĭn ;Adv;1583
儘管;jĭnguăn ;Conj;1584
盡;jìn ;Vst;1585
進;jìn ;V;1586
進行;jìnxíng ;V;1587
進一步;jìnyíbù  ;Adv;1588
經;jīng ;V;1589
經費;jīngfèi ;N;1590
經過;jīngguò ;N;1591
經過;jīngguò  ;Vst;1592
經驗;jīngyàn ;Vpt;1593
精神;jīngshén ;N;1594
驚訝;jīngyà  ;Vs;1595
酒吧;jiŭbā ;N;1596
救;jiù ;V;1597
舅舅;jiùjiu ;N;1598
舅媽;jiùmā;N;1599
就;jiù ;Prep;1600
就是;jiùshì ;Conj;1601
就算;jiùsuàn ;Conj;1602
就要;jiùyào;Adv;1603
居住;jūzhù ;Vi;1604
橘子;júzi ;N;1605
舉;jǔ ;V;1606
舉辦;jŭbàn ;V;1607
舉手;jŭshŏu;V-sep;1608
舉行;jǔxíng ;V;1609
句;jù ;M;1610
聚;jù ;Vi;1611
劇本;jùběn ;N;1612
劇情;jùqíng ;N;1613
拒絕;jùjué ;V;1614
距離;jùlí ;N;1615
具有;jùyŏu ;Vst;1616
絕對;juéduì ;Adv;1617
軍隊;jūnduì ;N;1618
軍人;jūnrén ;N;1619
卡車;kǎchē ;N;1620
開放;kāifàng ;V;1621
開花;kāihuā ;Vp-sep;1622
開朗;kāilăng ;Vs;1623
開始;kāishǐ ;N;1624
開玩笑;kāiwánxiào ;V-sep;1625
看不起;kànbùqĭ;Vst;1626
看法;kànfǎ ;N;1627
看起來;kànqĭlái;Adv;1628
考;kǎo ;V;1629
棵;kē;M;1630
刻;kē ;M;1631
科;kē ;M;1632
科技;kējì ;N;1633
科學;kēxué ;Vs;1634
可;kě ;Adv;1635
可;kě ;Vaux;1636
可靠;kěkào ;Vs;1637
可樂;kělè;N;1638
可惡;kěwù ;Vs;1639
可惜;kěxí ;Vs;1640
可以;kěyǐ ;Vaux;1641
渴望;kěwàng ;Vst;1642
克;kè ;M;1643
克服;kèfú ;Vpt;1644
課程;kèchéng ;N;1645
課堂;kètáng ;N;1646
課文;kèwén;N;1647
客滿;kèmăn ;Vp;1648
刻;kè ;V;1649
肯;kěn ;Vaux;1650
肯定;kěndìng ;Vs;1651
空;kōng ;Vs;1652
空間;kōngjiān ;N;1653
空軍;kōngjūn ;N;1654
恐怕;kǒngpà ;Adv;1655
空;kòng ;Vs;1656
口;kǒu ;N;1657
口袋;kǒudài ;N;1658
口味;kŏuwèi  ;N;1659
誇張;kuāzhāng ;Vs;1660
快;kuài;Adv;1661
快要;kuàiyào ;Adv;1662
寬;kuān ;Vs;1663
況且;kuàngqiě ;Conj;1664
困難;kùnnán ;N;1665
困難;kùnnán ;Vs;1666
擴大;kuòdà ;V;1667
拉肚子;lādùzi ;V-sep;1668
啦;la;Ptc;1669
來;lái ;Adv;1670
來;lái ;Ptc;1671
來不及;láibùjí ;Vs;1672
來得及;láidejí  ;Vs;1673
藍;lán ;Vs;1674
浪漫;làngmàn ;Vs;1675
老公;lăogōng ;N;1676
老虎;lăohŭ ;N;1677
老婆;lăopó ;N;1678
老實;lăoshí ;Vs;1679
老是;lăoshì ;Adv;1680
樂;lè ;Vs;1681
樂觀;lèguān ;Vs;1682
樂趣;lèqù ;N;1683
垃圾;lèsè ;N;1684
淚;lèi ;N;1685
類;lèi ;M;1686
冷淡;lěngdàn ;Vs;1687
離;lí ;Prep;1688
離婚;líhūn ;Vp-sep;1689
里;lǐ ;M;1690
裡/裏;lĭ/lĭ;N;1691
裡邊;lĭbiān;N;1692
理解;lĭjiě ;Vst;1693
理論;lĭlùn ;N;1694
理想;lĭxiăng ;N;1695
理想;lĭxiăng ;Vs;1696
裏面;lǐmiàn;N;1697
禮堂;lĭtáng ;N;1698
力;lì ;N;1699
力量;lìlìàng;N;1700
厲害;lìhài ;Vs;1701
立刻;lìkè ;Adv;1702
例如;lìrú ;Prep;1703
例子;lìzi ;N;1704
利益;lìyì ;N;1705
利用;lìyòng ;V;1706
連;lián ;Conj;1707
連;lián ;Vst;1708
連聯/聯絡;liánluò ;V;1709
連續劇;liánxùjù ;N;1710
練;liàn ;V;1711
戀愛;liànài ;Vp;1712
涼;liáng;Vs;1713
良好;liánghăo ;Vs;1714
亮;liàng;Vs;1715
聊;liáo ;V;1716
了不起;liăobùqĭ;Vs;1717
靈魂;línghún ;N;1718
零錢;língqián ;N;1719
零用錢;língyòngqián ;N;1720
領;lǐng ;V;1721
領導;lĭngdăo ;V;1722
領域;lĭngyù ;N;1723
令;lìng ;Vst;1724
流;liú ;V;1725
流汗;liúhàn ;V-sep;1726
流血;liúxiě ;V-sep;1727
留學;liúxué ;Vi;1728
留學生;liúxuéshēng ;N;1729
龍;lóng ;N;1730
錄;lù ;V;1731
錄取;lùqŭ  ;V;1732
錄音;lùyīn ;V-sep;1733
露營;lùyíng  ;V-sep;1734
亂;luàn;Vs;1735
輪胎;lúntāi ;N;1736
旅客;lǚkè ;N;1737
綠;lǜ;Vs;1738
律師;lǜshī ;N;1739
麻煩;máfán;Vs;1740
馬桶;mătŏng ;N;1741
碼頭;mătou ;N;1742
螞蟻;măyĭ;N;1743
罵;mà ;V;1744
嘛;ma ;Ptc;1745
滿;măn ;Det;1746
滿;măn ;Vs;1747
滿足;mănzú  ;Vs;1748
慢慢;mànmàn;;1749
慢跑;mànpăo ;Vi;1750
慢用;mànyòng ;Vi;1751
毛;máo ;N;1752
毛病;máobìng ;N;1753
貿易;màoyì ;N;1754
沒;méi;Ptc;1755
沒;méi;Vp;1756
沒什麼;méishénme ;Vs;1757
沒想到;méixiăngdào ;;1758
玫瑰(ㄍㄨㄟ˙);méigui ;N;1759
每;měi ;Adv;1760
美好;měihăo ;Vs;1761
門;mén ;M;1762
夢;mèng ;N;1763
迷路;mílù ;Vp-sep;1764
迷人;mírén ;Vs;1765
米飯;mǐfàn ;N;1766
米粉;mĭfěn ;N;1767
秘密/祕密;mìmì ;N;1768
密切;mìqiè ;Vs;1769
免費;miănfèi ;Vs;1770
面;miàn ;M;1771
面;miàn ;N;1772
面積;miànjī ;N;1773
面前;miànqián ;N;1774
麵條;miàntiáo ;N;1775
描寫;miáoxiě ;V;1776
秒;miǎo ;M;1777
廟;miào ;N;1778
民國;mínguó ;N;1779
民族;mínzú ;N;1780
名;míng ;M;1781
名詞;míngcí ;N;1782
明白;míngbái ;Vpt;1783
明顯;míngxiăn ;Vs;1784
明星;míngxīng ;N;1785
命;mìng ;N;1786
摸;mō ;V;1787
摩托車/機車;mótuōchē/jīchē;N;1788
陌生;mòshēng ;Vs;1789
某;mŏu;Det;1790
木;mù ;N;1791
木頭;mùtou;N;1792
目的;mùdì ;N;1793
目前;mùqián ;N;1794
拿手;náshŏu ;Vs;1795
哪裡/哪兒;nǎlǐ/nǎr;N;1796
哪些;nǎxiē ;Det;1797
那;nà;Conj;1798
那裡;nàlǐ;N;1799
那麼;nàme;Conj;1800
那樣;nàyàng;Adv;1801
那樣;nàyàng;Vs;1802
哪;na;Ptc;1803
奶;nǎi ;N;1804
奶茶;nǎichá ;N;1805
耐心;nàixīn ;N;1806
南方;nánfāng ;N;1807
難怪;nánguài ;Adv;1808
難看;nánkàn ;Vs;1809
腦;năo ;N;1810
腦子;năozi ;N;1811
鬧鐘;nàozhōng ;N;1812
內;nèi ;N;1813
內容;nèiróng ;N;1814
能;néng ;Vaux;1815
能夠;nénggòu ;Vaux;1816
能力;nénglì ;N;1817
年;nián ;N;1818
年代;niándài ;N;1819
年齡;niánlíng ;N;1820
年年;niánnián ;Adv;1821
念書;niànshū ;V-sep;1822
農業;nóngyè  ;N;1823
女士;nǚshì ;N;1824
喔;ō ;Ptc;1825
哦;ó ;Ptc;1826
噢;òu ;Ptc;1827
拍;pāi ;V;1828
排;pái ;V;1829
牌子;páizi ;N;1830
盼望;pànwàng ;Vst;1831
旁;páng ;N;1832
陪;péi ;V;1833
培養;péiyăng ;V;1834
配;pèi ;V;1835
配合;pèihé ;V;1836
碰;pèng ;V;1837
碰到;pèngdào ;Vpt;1838
碰上;pèngshàng ;Vpt;1839
批評;pīpíng ;V;1840
皮;pí ;N;1841
皮帶;pídài ;N;1842
皮膚;pífū ;N;1843
皮鞋;píxié ;N;1844
篇;piān ;M;1845
騙子;piànzi ;N;1846
品質;pĭnzhí ;N;1847
坪;píng ;M;1848
平;píng ;Vs;1849
平安;píngān ;Vs;1850
平等;píngděng ;Vs;1851
平時;píngshí ;N;1852
平原;píngyuán ;N;1853
瓶子;píngzi;N;1854
破;pò;Vp;1855
破壞;pòhuài ;V;1856
葡萄;pútáo ;N;1857
普遍;pŭbiàn ;Vs;1858
欺負;qīfù ;V;1859
其次;qícì ;Conj;1860
其實;qíshí ;Adv;1861
其中;qízhōng ;Det;1862
期;qí;M;1863
期間;qíjiān ;N;1864
起;qĭ;N;1865
起;qĭ;V;1866
起來;qĭlái ;Ptc;1868
氣;qì ;N;1869
氣;qì ;Vst;1870
氣溫;qìwēn ;N;1871
汽水;qìshuǐ;N;1872
企業;qìyè ;N;1873
簽名;qiānmíng ;V-sep;1874
簽證;qiānzhèng ;N;1875
謙虛;qiānxū ;Vs;1876
前;qián ;Det;1877
前;qián ;N;1878
前年;qiánnián ;N;1879
淺;qiǎn ;Vs;1880
強盜;qiángdào ;N;1881
強調;qiángdiào ;V;1882
搶;qiǎng ;V;1883
親;qīn;V;1884
親切;qīnqiè;Vs;1885
親手;qīnshŏu  ;Adv;1886
親眼;qīnyăn ;Adv;1887
親自;qīnzì ;Adv;1888
清;qīng ;Vs-pred;1889
青年;qīngnián ;N;1890
青少年;qīngshàonián  ;N;1891
