詞彙;漢語拼音;詞類;編號
潮流;cháoliú ;N;2698
潮溼/潮濕;cháoshī ;Vs;2699
吵鬧;chăonào ;Vi;2700
車票;chēpiào ;N;2701
扯;chě;V;2702
徹底;chèdǐ ;Vs;2703
沉;chén ;Vp;2704
陳列;chénliè ;V;2705
稱;chēng ;V;2706
撐;chēng ;V;2707
成;chéng ;M;2708
成;chéng ;Vpt;2709
成本;chéngběn ;N;2710
成分/成份;chéngfèn ;N;2711
成交;chéngjiāo ;Vp;2712
成立;chénglì ;Vpt;2713
成天;chéngtiān ;Adv;2714
成為;chéngwéi ;Vpt;2715
成語;chéngyŭ ;N;2716
乘;chéng ;V;2717
乘客;chéngkè ;N;2718
誠懇;chéngkěn ;Vs;2719
誠意;chéngyì ;N;2720
呈現;chéngxiàn ;Vpt;2721
程序;chéngxù ;N;2722
吃虧;chīkuī ;Vs;2723
遲;chí ;Vp;2724
遲早;chízăo ;Adv;2725
尺寸;chĭcùn ;N;2726
翅膀;chìbăng ;N;2727
沖;chōng ;V;2728
充分/充份;chōngfèn ;Vs;2729
充滿;chōngmăn ;Vpt;2730
充足;chōngzú ;Vs;2731
重;chóng ;Adv;2732
崇拜;chóngbài ;Vst;2733
崇高;chónggāo ;Vs;2734
抽屜;chōutì ;N;2735
愁;chóu ;Vs;2736
出;chū ;Vst;2737
出產;chūchăn  ;Vst;2738
出境;chūjìng ;Vp;2739
出口;chūkŏu ;V;2740
出色;chūsè ;Vs;2741
出身;chūshēn ;Vpt;2742
出事;chūshì ;Vp-sep;2743
出售;chūshòu ;V;2744
出席;chūxí ;V;2745
出院;chūyuàn ;Vi;2746
初;chū ;Adv;2747
初步;chūbù ;Adv;2748
初步;chūbù ;Vs-attr;2749
初級;chūjí ;Vs;2750
除;chú ;Prep;2751
除;chú ;V;2752
除;chú ;Vst;2753
除非;chúfēi ;Conj;2754
儲存;chúcún ;V;2755
儲蓄;chúxù ;Vi;2756
處;chŭ ;M;2757
處罰;chŭfá ;V;2758
處;chù ;V;2759
處處;chùchù ;Adv;2760
傳;chuán ;V;2761
傳播;chuánbò ;V;2762
傳達;chuándá ;V;2763
傳單;chuándān ;N;2764
傳染;chuánrăn ;V;2765
傳說;chuánshuō ;N;2766
傳說;chuánshuō ;V;2767
傳送;chuánsòng ;V;2768
傳統;chuántŏng ;N;2769
傳真;chuánzhēn ;V;2770
窗口;chuāngkŏu ;N;2771
床;chuáng ;M;2772
床單;chuángdān ;N;2773
幢;chuáng ;M;2774
闖;chuăng ;V;2775
創作;chuàngzuò ;N;2776
春季;chūnjì ;N;2777
春假;chūnjià ;N;2778
純;chún ;Vs;2779
磁帶;cídài ;N;2780
詞典;cídiăn ;N;2781
詞彙;cíhuì ;N;2782
辭職;cízhí ;Vi;2783
此外;cĭwài ;Conj;2784
刺;cì ;V;2785
刺激;cìjī ;V;2786
次數;cìshù ;N;2787
從;cóng ;Adv;2788
從此;cóngcĭ;Adv;2789
從沒;cóngméi ;Adv;2790
從事;cóngshì ;Vst;2791
湊;còu ;V;2792
粗;cū ;Vs;2793
粗心;cūxīn ;Vs;2794
促進;cùjìn ;V;2795
催;cuī ;V;2796
存款;cúnkuăn ;N;2797
搓;cuō ;V;2798
錯過;cuòguò ;Vpt;2799
錯字;cuòzì ;N;2800
措施;cuòshī ;N;2801
答;dá ;V;2802
答案;dáàn ;N;2803
達到;dádào ;Vpt;2804
打;dă ;M;2805
打扮;dăbàn ;Vi;2806
打包;dăbāo ;V;2807
打斷;dăduàn ;Vpt;2808
打擾;dărăo ;V;2809
打算;dăsuàn ;N;2810
打招呼;dăzhāohū ;V-sep;2811
打針;dăzhēn ;V-sep;2812
打字;dăzì ;V-sep;2813
大半;dàbàn ;Det;2814
大便;dàbiàn ;N;2815
大膽;dàdăn ;Vs;2816
大地;dàdì ;N;2817
大都;dàdōu ;Adv;2818
大哥;dàgē ;N;2819
大哥大;dàgēdà ;N;2820
大街;dàjiē ;N;2821
大力;dàlì ;Adv;2822
大量;dàliàng ;Det;2823
大腦;dànăo ;N;2824
大清早;dàqīngzăo ;N;2825
大嫂;dàsăo ;N;2826
大腿;dàtuĭ ;N;2827
大型;dàxíng ;Vs-attr;2828
大意;dàyì ;Vs;2829
大有;dàyŏu ;Vst;2830
大致;dàzhì ;Adv;2831
大眾;dàzhòng ;N;2832
大自然;dàzìrán ;N;2833
待會/待會兒;dāihuĭ/dāihuĭr;Adv;2834
待;dài;V;2835
代;dài ;N;2836
代;dài ;V;2837
代表;dàibiăo ;Vs;2838
代溝;dàigōu ;N;2839
代價;dàijià ;N;2840
代理;dàilĭ ;V;2841
帶動;dàidòng ;V;2842
帶路;dàilù ;Vi;2843
帶子;dàizi ;N;2844
大夫;dàifū ;N;2845
貸款;dàikuăn ;N;2846
貸款;dàikuăn ;V-sep;2847
待遇;dàiyù ;N;2848
單;dān ;Adv;2849
單調;dāndiào ;Vs;2850
單位;dānwèi ;N;2851
單子;dānzi ;N;2852
擔保;dānbăo ;V;2853
耽誤;dānwù ;V;2854
膽量;dănliàng ;N;2855
膽小;dănxiăo;Vs;2856
蛋白質;dànbáizhí ;N;2857
誕生;dànshēng ;Vp;2858
當初;dāngchū ;N;2859
當時;dāngshí ;N;2860
當選;dāngxuăn ;Vpt;2861
當中;dāngzhōng ;N;2862
擋;dăng ;V;2863
檔案;dăngàn ;N;2864
當;dàng ;Vst;2865
倒楣;dăoméi ;Vs;2866
導演;dăoyăn ;V;2867
導遊;dăoyóu ;N;2868
倒;dào ;V;2869
道;dào ;M;2870
道路;dàolù ;N;2871
到達;dàodá ;Vpt;2872
得分;défēn ;Vs-sep;2873
得獎;déjiăng ;V-sep;2874
得了;déle ;;2875
得罪;dézuì ;Vpt;2876
登;dēng ;V;2877
登記;dēngjì ;Vp;2878
登山;dēngshān ;V-sep;2879
等不及;děngbùjí ;Vi;2880
等到;děngdào ;Prep;2881
等級;děngjí ;N;2882
等於;děngyú ;Vst;2883
凳子;dèngzi ;N;2884
滴;dī ;M;2885
低潮;dīcháo;N;2886
的確;díquè ;Adv;2887
抵;dĭ;V;2888
抵抗;dĭkàng ;V;2889
遞;dì ;V;2890
地面;dìmiàn ;N;2891
地毯;dìtăn ;N;2892
地下;dìxià ;Vs-attr;2893
地震;dìzhèn ;Vp;2894
典禮;diănlĭ ;N;2895
典型;diănxíng ;Vs;2896
點燃;diănrán ;V;2897
點頭;diăntóu ;V-sep;2898
墊;diàn ;V;2899
電報;diànbào ;N;2900
電動;diàndòng ;Vs-attr;2901
電扇;diànshàn ;N;2902
