旅行;旅館;lǚguǎn;N;371
旅行;參觀;cānguān;V;373
旅行;地圖;dìtú;N;383
旅行;照相機;zhàoxiàngjī;N;388
旅行;照相;zhàoxiàng;V-sep;389
旅行;風景;fēngjǐng;N;390
健康及身體照護;頭;tóu;N;393
健康及身體照護;頭髮;tóufǎ;N;394
健康及身體照護;耳朵;ěrduo;N;395
健康及身體照護;手指(頭);shǒuzhǐ(tou);N;397
健康及身體照護;肚子;dùzi;N;398
健康及身體照護;健康;jiànkāng;Vs;400
健康及身體照護;感冒;gǎnmào;Vp;401
健康及身體照護;生病;shēngbìng;Vp-sep;402
健康及身體照護;受傷;shòushāng ;Vp-sep;403
健康及身體照護;餓;è;Vs;404
健康及身體照護;渴;kě;Vs;405
健康及身體照護;舒服(ㄈㄨ˙);shūfu;Vs;406
健康及身體照護;眼鏡;yǎnjìng;N;408
健康及身體照護;痛;tòng;Vs;409
購物;希望;xīwàng;Vst;411
購物;商店;shāngdiàn;N;418
購物;店;diàn;N;419
購物;重要;zhòngyào;Vs;421
購物;給;gěi;Prep;423
購物;公斤;gōngjīn;M;425
購物;顏色;yánsè;N;426
購物;黃色;huángsè;N;427
購物;白色;báisè;N;428
購物;襪子;wàzi;N;430
購物;裙子;qúnzi;N;432
購物;短;duǎn;Vs;438
購物;小心;xiǎoxīn;Vs;444
飲食;牛奶;niúnǎi;N;446
飲食;蛋;dàn;N;448
飲食;餃子;jiǎozi;N;450
飲食;麵;miàn;N;452
飲食;湯;tāng;N;453
飲食;包子;bāozi;N;454
飲食;蛋糕;dàngāo;N;455
飲食;麵包;miànbāo;N;456
飲食;水果;shuǐguǒ;N;457
飲食;香蕉;xiāngjiāo;N;459
飲食;食物;shíwù;N;460
飲食;飲料;yǐnliào;N;461
飲食;果汁;guǒzhī;N;462
飲食;杯子;bēizi;N;465
飲食;多;duō;Adv;470
飲食;甜;tián;Vs;472
飲食;菜單;càidān;N;473
飲食;巧克力;qiǎokèlì;N;474
飲食;碗;wǎn;N;477
飲食;盤子;pánzi;N;478
飲食;片;piàn;M;479
飲食;一半/一半兒;yībàn/yībànr;Det;482
其他;過;guò;Ptc;497
其他;一定;yīdìng;Adv;500
